표 1
,iso4217코드,한글 화폐명,기호,
-1,Unknown,알수없음,-,
0,KRW,원,₩,
1,JPY,엔,¥,
2,EUR,유로,€,
3,GBP,파운드,£,
4,USD,달러,$,
5,TWD,대만 달러,NT$,
6,CNY,위안,¥,
7,VND,동,₫,
8,MNT,투그릭,₮,
9,TRY,리라,₺,
10,THB,바트,฿,
11,HKD,홍콩 달러,HK$,
12,MOP,파타카,MOP$,
13,PHP,페소,₱,
14,SGD,싱가포르 달러,S$,
15,CHF,스위스 프랑,CHF,
16,CZK,코루나,Kč,
17,HUF,포린트,Ft,
18,AUD,오스트레일리아 달러,AU$,
19,CAD,캐나다 달러,CA$,
20,NZD,뉴질랜드 달러,NZ$,
21,DKK,크로네,kr,
